Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
Ronaldo Rodriguez,Ode Osbourne,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29. Adalaide Byrd 27 - 29. Ron McCarthy 27 - 29.,Flyweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",9/14/24,3,-5,-3,7,3,-12,-6,-11,-1,0,-5,0,-7,-1,0,0,-1,1,4.1,23,7,10,6,13,1,13,0,0,-2,0,15,0,1,0,-1,-1,3.8,-5,7,-2,-1,-3,8,-1,-2,0,-5,0,2,0,-1,-1,0,0,0.216666667
Irene Aldana,Norma Dumont,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Sal D'amato 27 - 30. Chris Lee 27 - 30.,Women's Bantamweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",9/14/24,3,-20,-9,0,0,-20,-9,-7,-3,-10,-19,-1,0,0,0,0,0,0,0,-33,-22,0,0,-33,-22,-12,-12,-9,-33,0,0,0,0,-2,0,0,0,-37,-5,0,0,-37,-5,-23,-7,-7,-37,0,0,0,0,-3,0,0,0.083333333
Edgar Chairez,Joshua Van,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Ben Cartlidge 28 - 29. Chris Lee 28 - 29.,Flyweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",9/14/24,3,17,16,0,0,17,16,3,2,12,16,1,0,0,0,0,0,0,0,-68,2,-25,-6,-43,8,-31,-8,-4,-40,-3,0,0,-2,1,1,0,-2.233333333,-45,-1,-32,-5,-13,4,-5,-6,-2,-8,0,-5,0,-1,1,0,0,-1.75
Raul Rosas Jr.,Aoriqileng,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo 28 - 29. Ron McCarthy 28 - 29. Tony Weeks 28 - 29.,Bantamweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",9/14/24,3,23,7,16,2,7,5,4,-2,5,2,0,5,0,1,1,0,0,3.216666667,0,7,0,0,0,7,-2,-4,6,0,0,0,0,0,3,0,0,0,-5,8,-17,-1,12,9,7,3,2,3,0,9,0,2,0,0,0,4.316666667
Jessica Andrade,Natalia Silva,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 27 - 30. Junichiro Kamijo 27 - 30. Chris Lee 27 - 30.,Women's Flyweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",9/7/24,3,-9,-9,0,0,-9,-9,2,-5,-6,-9,0,0,0,0,0,0,0,0.066666667,-20,-6,6,0,-26,-6,-11,-14,-1,-22,-4,0,0,0,0,0,0,0.15,-28,14,4,0,-32,14,-25,-6,-1,-27,-3,-2,0,0,0,0,0,1.15
Trevor Peek,Yanal Ashmouz,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Junichiro Kamijo 27 - 30. Chris Lee 28 - 29. David Lethaby 28 - 29.,Lightweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",9/7/24,3,6,6,-6,-4,12,10,2,4,6,12,0,0,0,-1,-2,0,0,-2.416666667,-13,-1,-25,-6,12,5,4,7,1,13,-1,0,0,-6,-2,0,0,-2.316666667,-15,8,-4,-5,-11,13,-3,-2,-6,4,-10,-5,0,-2,-4,0,0,-3.033333333
Felipe dos Santos,Andre Lima,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Lee 27 - 30. Junichiro Kamijo 28 - 29. Adalaide Byrd 28 - 29.,Flyweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",9/7/24,3,17,10,2,1,15,9,5,10,0,12,3,0,0,0,6,0,0,-0.1,-4,2,-6,-4,2,6,1,0,1,4,-2,0,0,-1,1,0,0,-4.1,13,14,10,10,3,4,3,-2,2,3,0,0,0,-1,1,-2,0,-4.116666667
Yizha,Gabriel Santos,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 26 - 30. David Lethaby 26 - 30. Bryan Miner 27 - 30.,Featherweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",9/7/24,3,-23,-9,0,0,-23,-9,-9,-9,-5,-11,-4,-8,-1,0,0,0,0,-0.183333333,-9,19,-5,2,-4,17,-1,-2,-1,0,-1,-3,0,-1,2,0,0,-2.316666667,18,14,26,7,-8,7,-9,2,-1,-2,0,-6,0,-1,2,0,0,-4.016666667
Andre Petroski,Dylan Budka,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 27 - 30. David Lethaby 27 - 30. Rick Winter 27 - 30.,Middleweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",9/7/24,3,8,0,4,3,4,-3,2,2,0,1,0,3,0,1,0,0,0,2.766666667,27,0,28,5,-1,-5,-1,0,0,-1,0,0,0,1,1,0,0,3.783333333,20,-5,17,0,3,-5,1,0,2,4,-3,2,0,1,1,0,0,2.783333333
Angela Hill,Tabatha Ricci,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Eric Colon 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",8/24/24,3,-7,-10,-1,-1,-6,-9,-8,7,-5,-6,0,0,0,0,0,0,0,-2.033333333,7,-6,-2,0,9,-6,-2,12,-1,1,7,1,0,-2,1,0,0,-1.966666667,0,-19,-8,0,8,-19,-6,16,-2,5,2,1,0,-1,0,0,0,-0.9
Dennis Buzukja,Francis Marshall,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 27 - 30. Adalaide Byrd 29 - 28. Junichiro Kamijo 28 - 29.,Lightweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",8/24/24,3,-14,-2,-14,1,0,-3,-4,3,1,0,0,0,0,-1,-1,0,0,-3.933333333,5,-11,-2,0,7,-11,1,3,3,9,-1,-1,-1,0,-1,0,0,-1.016666667,3,0,1,0,2,0,-4,6,0,3,-1,0,0,0,-2,0,0,-0.35
Zachary Reese,Jose Daniel Medina,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Eric Colon 27 - 30. Ron McCarthy 27 - 30. Tony Weeks 27 - 30.,Middleweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",8/24/24,3,27,10,-3,1,30,9,21,9,0,16,1,13,0,0,2,1,1,1.366666667,11,4,3,0,8,4,-1,6,3,8,0,0,0,0,-1,0,0,-0.433333333,10,3,5,4,5,-1,2,0,3,3,0,2,0,4,2,0,0,3.816666667
Viacheslav Borshchev,James Llontop,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Ben Cartlidge 28 - 29. Eric Colon 29 - 28. Mike Bell 27 - 30.,Lightweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",8/24/24,3,1,-2,1,0,0,-2,-1,6,-5,0,1,-1,0,0,0,0,0,-0.05,12,-4,0,0,12,-4,8,2,2,11,0,1,0,0,0,0,0,0.05,-13,-17,-4,0,-9,-17,2,-5,-6,-10,1,0,0,0,1,0,0,-0.033333333
Jacqueline Cavalcanti,Josiane Nunes,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Ron McCarthy 30 - 27. Chris Lee 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",8/24/24,3,14,-4,0,0,14,-4,9,0,5,14,0,0,0,0,0,0,0,0,13,-1,0,0,13,-1,3,0,10,13,0,0,0,0,0,0,0,0,12,-16,0,0,12,-16,4,0,8,14,0,-2,0,0,0,0,0,-0.133333333
Mateusz Gamrot,Dan Hooker,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jim Perdios,Mick Meany 29 - 28. Ben Cartlidge 28 - 29. Mark Christie 28 - 29.,Lightweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",8/17/24,3,7,5,1,0,6,5,13,-9,2,-6,1,11,0,2,2,0,0,1.233333333,0,-12,6,-1,-6,-11,-4,-2,0,0,-1,-5,0,2,2,0,0,1.883333333,-1,-7,0,0,-1,-7,6,-7,0,5,-2,-4,0,1,6,0,0,0.4
Tai Tuivasa,Jairzinho Rozenstruik,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Charlie Keech 28 - 29. Howie Booth 30 - 27. David Lethaby 27 - 30.,Heavyweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",8/17/24,3,-10,0,0,0,-10,0,-4,-2,-4,-10,0,0,0,0,0,0,0,0,-24,-8,-1,0,-23,-8,-19,-3,-1,-20,-3,0,0,0,0,0,0,0.016666667,-21,4,0,0,-21,4,-16,-1,-4,-19,-2,0,0,0,0,0,0,-0.016666667
Josh Culibao,Ricardo Ramos,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Matt Wynne,Mick Meany 28 - 29. Ben Cartlidge 29 - 28. Mark Christie 28 - 29.,Featherweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",8/17/24,3,17,-18,9,0,8,-18,2,2,4,8,0,0,0,0,0,-1,0,-2.65,24,1,0,-3,24,4,14,-1,11,13,0,11,1,0,0,0,0,1.466666667,12,-20,1,0,11,-20,8,2,1,12,-1,0,0,-1,0,0,0,-1.466666667
Casey O'Neill,Luana Santos,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Charlie Keech 27 - 30. David Lethaby 27 - 30. Evan Field 26 - 30.,Women's Flyweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",8/17/24,3,9,12,1,0,8,12,5,-1,4,7,1,0,0,0,1,0,0,-1.266666667,15,18,2,1,13,17,12,0,1,9,4,0,0,-1,-2,0,0,-0.916666667,43,28,22,3,21,25,17,3,1,12,0,9,0,0,-1,1,0,2.183333333
Tom Nolan,Alex Reyes,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Charlie Keech 27 - 30. David Lethaby 27 - 30. Mick Meany 28 - 29.,Lightweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",8/17/24,3,-1,18,-1,-1,0,19,2,3,-5,-1,2,-1,0,-2,-1,0,0,-1.483333333,12,3,7,0,5,3,5,3,-3,1,4,0,0,0,-1,0,0,-0.933333333,4,1,-6,2,10,-1,3,5,2,6,4,0,0,0,-1,1,0,-1.483333333
Song Kenan,Ricky Glenn,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jim Perdios,Evan Field 27 - 30. Mark Christie 26 - 30. Howie Booth 28 - 29.,Welterweight Bout,UFC 305: Du Plessis vs. Adesanya,"Perth, Western Australia, Australia",8/17/24,3,7,13,-6,2,13,11,14,0,-1,12,1,0,0,-2,0,0,0,-2.2,21,11,1,0,20,11,23,2,-5,16,4,0,0,0,-6,0,0,-0.45,18,2,4,0,14,2,13,6,-5,5,9,0,0,1,-3,0,0,-0.083333333
Damon Jackson,Chepe Mariscal,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 25 - 30. Junichiro Kamijo 25 - 30. Mike Bell 26 - 30.,Featherweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,-30,-1,-23,2,-7,-3,-13,7,-1,0,4,-11,0,-3,3,0,0,-0.466666667,-80,-16,-59,-11,-21,-5,-26,4,1,0,4,-25,0,-1,0,0,0,-2.216666667,-59,-9,-46,-7,-13,-2,-15,2,0,-3,2,-12,0,0,-1,0,-1,-1.533333333
Danny Barlow,Nikolay Veretennikov,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Ron McCarthy 28 - 29. Jerin Valel 30 - 27. Bryan Miner 28 - 29.,Welterweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,8,10,1,0,7,10,3,-3,7,9,-2,0,0,0,1,0,0,0.25,-4,-1,-4,3,0,-4,4,-4,0,1,-1,0,0,0,-1,0,0,0.633333333,-11,4,-1,0,-10,4,-5,-8,3,-9,-1,0,0,0,0,0,0,0.233333333
Chris Gutierrez,Quang Le,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29. Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,18,-19,1,0,17,-19,5,-1,13,17,0,0,0,-2,-1,0,0,-0.7,-7,-5,-9,-2,2,-3,-1,-2,5,2,0,0,0,0,-5,0,0,-3.233333333,26,-12,2,0,24,-12,13,2,9,24,1,-1,0,0,-3,0,0,0.05
Yana Santos,Chelsea Chandler,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 30. Ron McCarthy 28 - 29. Bryan Miner 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,22,-16,3,-1,19,-15,1,6,12,16,3,0,0,0,0,0,0,-0.416666667,15,-3,-1,-1,16,-2,2,5,9,9,7,0,1,0,0,0,0,0.216666667,25,-9,22,1,3,-10,-4,2,5,4,-1,0,0,0,0,0,0,-1.483333333
Karol Rosa,Pannie Kianzad,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mike Bell 27 - 30. Sal D'amato 27 - 30. Ron McCarthy 27 - 30.,Women's Bantamweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,2,-8,0,0,2,-8,3,-11,10,3,-1,0,0,0,0,0,0,0,12,-3,3,0,9,-3,0,-4,13,10,-1,0,0,0,0,0,0,0.4,-12,3,-26,5,14,-2,11,3,0,5,8,1,0,1,1,0,0,4
Jhonata Diniz,Karl Williams,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 27 - 30. Adalaide Byrd 28 - 29. Ron McCarthy 28 - 29.,Heavyweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,9,-3,0,0,9,-3,1,0,8,8,1,0,0,0,-2,0,0,-0.05,24,-2,0,0,24,-2,11,1,12,24,0,0,0,0,0,0,0,0,-19,-22,-16,-16,-3,-6,-2,0,-1,1,0,-4,0,-2,-1,0,0,-2.6
Stephanie Luciano,Talita Alencar,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Mike Bell 27 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Tybura vs. Spivac 2,"Las Vegas, Nevada, USA",8/10/24,3,10,3,1,0,9,3,6,2,1,9,0,0,0,0,0,0,0,0,22,-3,7,-1,15,-2,11,1,3,13,2,0,0,-1,-7,0,0,0.05,10,-11,3,-3,7,-8,12,-5,0,8,-2,1,1,0,-2,0,0,0.483333333
Shara Magomedov,Michal Oleksiejczuk,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Vito Paolillo 27 - 30. Darryl Ransom 27 - 30. Clemens Werner 28 - 29.,Middleweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,6,16,1,0,5,16,-7,8,4,4,1,0,0,0,-2,0,0,-0.133333333,9,0,-2,-1,11,1,12,2,-3,11,0,0,0,-1,-1,0,0,-0.733333333,14,-8,10,-3,4,-5,2,5,-3,2,3,-1,0,-2,-1,0,0,-1.783333333
Marlon Vera,Deiveson Figueiredo,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29. Howard Hughes 27 - 30.,Bantamweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,-1,12,1,4,-2,8,-1,-1,0,-2,2,-2,0,-2,-1,0,0,-2.333333333,5,8,1,0,4,8,-3,0,7,4,0,0,0,0,-6,0,0,0.083333333,4,4,-1,0,5,4,1,1,3,2,3,0,-1,0,-5,0,0,-0.116666667
Mackenzie Dern,Loopy Godinez,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Hadi Mohamed Ali 28 - 29. Howard Hughes 28 - 29. Clemens Werner 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,32,19,22,0,10,19,9,0,1,12,-2,0,0,0,1,0,-1,1.483333333,3,13,3,0,0,13,2,-1,-1,0,0,0,0,-1,0,-1,0,-0.75,-4,20,1,0,-5,20,5,-10,0,-4,-1,0,0,1,1,0,0,0.333333333
Shamil Gaziev,Don'Tale Mayes,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Howard Hughes 27 - 30. David Lethaby 27 - 30. Darryl Ransom 27 - 30.,Heavyweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,12,3,16,3,-4,0,0,-1,-3,-7,-1,4,0,1,1,0,0,4.533333333,9,-12,-2,-4,11,-8,4,6,1,-3,14,0,0,0,-2,0,0,3.466666667,11,-4,14,4,-3,-8,0,-2,-1,-3,0,0,0,1,0,0,0,3.966666667
Guram Kutateladze,Jordan Vucenic,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Ben Cartlidge 28 - 29. Vito Paolillo 28 - 29. Clemens Werner 28 - 29.,Lightweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,-22,-16,-8,-4,-14,-12,-13,-3,2,-11,0,-3,-1,0,0,0,0,-2.1,-4,-2,-8,-1,4,-1,-2,5,1,1,3,0,0,1,1,0,0,0.183333333,32,25,26,25,6,0,5,1,0,1,1,4,0,0,-3,0,0,1.466666667
Viktoriia Dudakova,Sam Hughes,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby 28 - 29. Howard Hughes 30 - 27. Darryl Ransom 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,-5,4,0,3,-5,1,-3,2,-4,-9,4,0,0,1,2,0,0,0.85,-20,-11,-4,0,-16,-11,-10,-4,-2,-17,2,-1,0,1,4,0,0,0.866666667,-10,1,5,4,-15,-3,-7,-7,-1,-10,-1,-4,0,1,1,0,0,0.683333333
Jai Herbert,Rolando Bedoya,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mike Bell 27 - 30. Hadi Mohamed Ali 27 - 30. David Lethaby 28 - 29.,Lightweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,-5,-20,0,-1,-5,-19,3,5,-13,-7,2,0,1,0,-1,0,0,-0.283333333,-1,-17,0,0,-1,-17,4,4,-9,1,-2,0,0,0,0,0,0,-0.05,24,-2,3,-2,21,0,11,8,2,21,0,0,0,2,1,0,0,-0.3
Sedriques Dumas,Denis Tiuliulin,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29. Clemens Werner 28 - 29. Vito Paolillo 27 - 30.,Middleweight Bout,UFC Fight Night: Sandhagen vs. Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",8/3/24,3,-9,-3,-12,-3,3,0,2,-1,2,3,0,0,0,1,1,0,0,2.9,-77,-2,-93,-2,16,0,10,-2,8,9,-1,8,0,1,2,0,0,2.633333333,-2,-13,-6,-8,4,-5,6,-1,-1,4,0,0,0,-2,2,0,0,-1.983333333
Christian Leroy Duncan,Gregory Rodrigues,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Derek Cleary 27 - 30. David Lethaby 27 - 30. Anders Ohlsson 27 - 30.,Middleweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,-12,-2,-9,-3,-3,1,-6,-1,4,0,0,-3,0,-1,0,0,0,-3.016666667,-16,-13,-3,0,-13,-13,-13,-2,2,-8,-5,0,0,-1,-6,0,0,-0.233333333,3,-3,3,0,0,-3,-5,2,3,3,-1,-2,0,-2,-2,0,0,-3.333333333
Arnold Allen,Giga Chikadze,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29. Mark Collett 28 - 29. Anders Ohlsson 28 - 29.,Featherweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,-2,-10,-1,0,-1,-10,2,-1,-2,-1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,21,-2,0,0,21,-2,19,2,0,21,0,0,0,0,0,0,0,0
Nathaniel Wood,Daniel Pineda,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,David Lethaby 27 - 29. Darryl Ransom 27 - 29. Clemens Werner 28 - 29.,Featherweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,-6,0,-8,-1,2,1,-2,3,1,7,0,-5,0,0,-2,0,-1,0.366666667,23,-5,-7,0,30,-5,17,6,7,24,-1,7,1,0,-3,0,0,1.3,-16,-11,-18,-5,2,-6,-1,0,3,5,-1,-2,0,-1,0,1,0,-3.5
Molly McCann,Bruna Brasil,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 27 - 30. Clemens Werner 27 - 30. Anders Ohlsson 28 - 29.,Women's Strawweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,-21,-1,-6,1,-15,-2,-1,-13,-1,-8,-5,-2,0,1,3,0,0,0.183333333,9,-2,9,-3,0,1,0,-1,1,1,-2,1,0,0,1,0,0,0.75,6,-6,3,-1,3,-5,0,3,0,3,1,-1,0,-2,1,0,-1,-3
Jake Hadley,Caolan Loughran,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Collett 27 - 30. David Lethaby 27 - 30. Derek Cleary 28 - 29.,Bantamweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,8,-1,0,0,8,-1,-2,-2,12,8,0,0,0,0,0,0,0,0,12,-23,10,-3,2,-20,-2,0,4,1,2,-1,0,-1,-3,0,0,-1.216666667,19,-22,14,-1,5,-21,6,-3,2,5,0,0,0,0,-3,0,0,-0.45
Muhammad Mokaev,Manel Kape,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 28 - 29. Darryl Ransom 28 - 29. Anders Ohlsson 27 - 30.,Flyweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,3,10,0,0,3,10,-4,4,3,3,0,0,0,0,2,0,0,-0.066666667,-1,13,-1,0,0,13,-5,3,2,-1,1,0,0,1,1,0,0,0.2,11,-1,4,-2,7,1,4,2,1,5,1,1,0,2,1,0,0,1.983333333
Oban Elliott,Preston Parsons,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett 28 - 29. Derek Cleary 27 - 30. David Lethaby 27 - 30.,Welterweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,-13,6,-10,2,-3,4,3,0,-6,-1,-2,0,0,0,-2,0,0,1.566666667,-9,24,-6,4,-3,20,2,0,-5,-3,0,0,0,1,-3,0,0,1.6,0,1,-14,1,14,0,16,0,-2,14,0,0,0,-1,-2,0,0,-0.2
Shauna Bannon,Alice Ardelean,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Collett 27 - 30. Darryl Ransom 29 - 28. Anders Ohlsson 28 - 29.,Women's Strawweight Bout,UFC 304: Edwards vs. Muhammad 2,"Manchester, England, United Kingdom",7/27/24,3,26,13,29,3,-3,10,-7,2,2,1,0,-4,0,-1,0,0,0,-3.266666667,19,10,20,-5,-1,15,0,-2,1,0,-1,0,0,-1,1,0,0,-2.45,26,19,2,0,24,19,9,12,3,22,2,0,0,0,-1,0,0,-0.016666667
Kurt Holobaugh,Kaynan Kruschewsky,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 28 - 29. Sal D'amato 28 - 29. Anthony Maness 28 - 29.,Lightweight Bout,UFC Fight Night: Lemos vs. Jandiroba,"Las Vegas, Nevada, USA",7/20/24,3,14,19,19,6,-5,13,0,-8,3,3,-8,0,0,0,2,0,0,1.65,26,6,14,4,12,2,6,2,4,17,-5,0,0,0,1,-2,0,0.933333333,16,-1,20,2,-4,-3,-9,4,1,1,3,-8,0,-2,0,0,1,-0.016666667
